DateTime;Total Load
119025;9934.52
119026;10024.37
119027;9966.4
119028;10008.59
119029;10014.07
119030;10094.92
119031;10123.9
119032;10142.4
119033;10134.13
119034;10143.16
119035;10055.78
119036;10251.94
119037;10298.17
119038;10359.41
119039;10369.54
119040;10227.11
119041;10210.07
119042;10220.65
119043;10214.15
119044;10232.09
119045;10227.87
119046;10226.36
119047;10194.97
119048;10120.28
119049;10087.79
119050;10021.45
119051;9968.79
119052;9884.06
119053;9851.2
119054;9714.68
119055;9495.07
119056;9363.04
119057;9103.74
119058;8947.81
119059;8814.54
119060;8648.54
119061;8427.98
119062;8233.84
119063;8307.51
119064;8246.61
119065;8102.15
119066;8040.93
119067;8038.65
119068;8004.88
119069;7986.65
119070;7983.91
119071;8009.11
119072;7967.33
119073;7970.87
119074;7959.61
119075;7962.86
119076;7950.44
119077;8093.56
119078;8225.6
119079;8283.1
119080;8265.97
119081;8366.27
119082;8500.36
119083;8527.38
119084;8603.94
119085;8804.55
119086;8878.01
119087;9100.76
119088;9127.74
119089;9373.93
119090;9450.13
119091;9376.12
119092;9169.25
119093;9106.81
119094;9153.5
119095;9270.92
119096;9228.48
119097;9172.84
119098;9404.25
119099;9469.89
119100;9572.04
119101;9621.3
119102;9691.37
119103;9822.72
119104;9913.55
119105;9936.02
119106;9933.55
119107;9953.56
119108;10004.67
119109;10014.94
119110;10022.47
119111;9984.23
119112;9973.21
119113;9856.58
119114;9782.29
119115;9816.49
119116;9765.94
119117;9928.19
119118;9923.32
119119;9925.49
119120;9869.27
119121;9997.1
119122;9906.84
119123;10069.97
119124;10060.59
119125;10106.57
119126;10121.17
119127;10295.76
119128;10337.84
119129;10312.63
119130;10310.31
119131;10176.41
119132;10230.77
119133;10419.79
119134;10401.74
119135;10334.41
119136;10323.61
119137;10393.58
119138;10425.03
119139;10120.39
119140;10090.2
119141;10230.73
119142;10129.89
119143;10015.21
119144;10123.49
119145;9981.63
119146;9980.78
119147;9936.61
119148;9828.59
119149;9596.66
119150;9467.64
119151;9303.76
119152;9135.17
119153;8906.04
119154;8621.18
119155;8503.17
119156;8215.21
119157;7908.01
119158;7737.67
119159;7686.65
119160;7617.38
119161;7544.79
119162;7512.72
119163;7419.03
119164;7480.81
119165;7341.7
119166;7347.52
119167;7318.86
119168;7400.63
119169;7310.17
119170;7310.79
119171;7321.17
119172;7399.44
119173;7408.95
119174;7509.75
119175;7481.23
119176;7642.44
119177;7745.39
119178;7717.33
119179;7789.94
119180;7934.6
119181;7976.51
119182;8025.41
119183;8061.42
119184;8173.7
119185;8244.44
119186;8383.43
119187;8263.41
119188;8248.0
119189;8153.88
119190;8215.43
119191;8169.77
119192;8185.4
119193;8161.63
119194;8179.99
119195;8227.65
119196;8316.46
119197;8320.49
119198;8222.15
119199;8368.61
119200;8315.51
119201;8295.12
119202;8277.52
119203;8268.14
119204;8342.19
119205;8147.21
119206;8125.56
119207;8032.43
119208;7998.82
119209;7810.73
119210;7943.16
119211;7849.69
119212;7892.87
119213;7858.92
119214;7895.57
119215;8034.37
119216;8040.4
119217;7902.04
119218;8006.41
119219;8098.92
119220;8134.27
119221;8246.03
119222;8276.99
119223;8289.41
119224;8371.76
119225;8345.56
119226;8550.5
119227;8596.13
119228;8614.73
119229;8470.39
119230;8488.06
119231;8386.52
119232;8328.83
119233;8276.41
119234;8242.74
119235;8240.21
119236;8223.87
119237;8143.95
119238;8060.25
119239;8057.27
119240;8006.35
119241;7977.75
119242;7718.92
119243;7722.89
119244;7603.73
119245;7536.55
119246;7428.26
119247;7306.24
119248;7336.08
119249;7198.55
119250;7199.37
119251;7160.77
119252;7156.23
119253;6955.3
119254;6999.24
119255;7154.47
119256;7223.52
119257;7220.4
119258;7214.29
119259;7222.73
119260;7251.8
119261;7240.57
119262;7196.97
119263;7350.63
119264;7320.66
119265;7202.37
119266;7249.97
119267;7415.94
119268;7386.58
119269;7554.36
119270;7645.28
119271;7710.09
119272;7734.12
119273;7902.16
119274;7853.3
119275;7958.91
119276;8167.16
119277;8310.79
119278;8510.19
119279;8477.97
119280;8654.18
119281;8719.33
119282;8786.55
119283;8717.2
119284;8714.34
119285;8645.36
119286;8473.25
119287;8493.84
119288;8428.41
119289;8511.53
119290;8481.98
119291;8544.49
119292;8685.39
119293;8745.43
119294;8746.91
119295;8612.25
119296;8810.02
119297;8763.2
119298;8815.02
119299;8870.18
119300;8878.83
119301;8903.32
119302;8934.29
119303;8899.52
119304;8799.84
119305;8725.2
119306;8743.73
119307;8871.48
119308;8926.02
119309;8785.32
119310;8889.62
119311;8894.3
119312;8911.7
119313;8884.21
119314;8911.58
119315;8853.94
119316;8865.81
119317;8915.92
119318;8848.45
119319;8954.24
119320;8943.26
119321;8940.29
119322;8927.21
119323;8995.92
119324;9077.57
119325;9102.95
119326;9116.91
119327;9144.68
119328;9183.89
119329;9089.64
119330;9058.82
119331;9007.85
119332;9050.58
119333;8991.76
119334;8946.16
119335;8849.71
119336;8852.77
119337;8709.41
119338;8602.9
119339;8541.84
119340;8412.57
119341;8263.82
119342;8150.04
119343;8114.77
119344;8019.79
119345;7814.25
119346;7736.39
119347;7683.15
119348;7610.1
119349;7555.64
119350;7631.75
119351;7785.98
119352;7823.12
119353;7709.95
119354;7771.42
119355;7818.31
119356;7872.07
119357;7847.88
119358;7937.36
119359;7975.15
119360;7919.38
119361;7955.29
119362;8022.43
119363;8108.8
119364;8182.17
119365;8204.22
119366;8182.76
119367;8278.28
119368;8358.05
119369;8388.5
119370;8375.36
119371;8504.73
119372;8600.24
119373;8808.37
119374;8955.06
119375;9219.81
119376;9254.7
119377;9327.13
119378;9475.17
119379;9282.38
119380;9071.41
119381;9013.72
119382;9180.03
119383;9150.35
119384;9232.6
119385;9348.83
119386;9385.61
119387;9486.48
119388;9595.67
119389;9718.63
119390;9711.97
119391;9811.02
119392;9920.43
119393;9924.73
119394;9917.16
119395;10110.12
119396;10143.5
119397;10148.02
119398;10111.86
119399;9977.71
119400;10076.61
119401;10146.85
119402;10091.95
119403;10034.17
119404;10047.39
119405;10017.36
119406;9989.02
119407;10054.47
119408;10094.55
119409;10117.35
119410;10079.79
119411;10010.71
